private_uri,label,type,wikidata_uri,confidence
http://moviekg.local/resource/movie_1003596,Avengers: Doomsday,Movie,http://www.wikidata.org/entity/Q113244839,1.0
http://moviekg.local/resource/movie_1010581,My Fault,Movie,http://www.wikidata.org/entity/Q126063272,0.8
http://moviekg.local/resource/movie_1019361,Hamdan,Movie,http://www.wikidata.org/entity/Q12485152,0.5
http://moviekg.local/resource/movie_10528,Sherlock Holmes,Movie,http://www.wikidata.org/entity/Q200396,1.0
http://moviekg.local/resource/movie_10538,Passenger 57,Movie,http://www.wikidata.org/entity/Q325691,1.0
http://moviekg.local/resource/movie_1054867,One Battle After Another,Movie,http://www.wikidata.org/entity/Q117085614,1.0
http://moviekg.local/resource/movie_1058710,Bloodline Killer,Movie,http://www.wikidata.org/entity/Q116951732,1.0
http://moviekg.local/resource/movie_1061474,Superman,Movie,http://www.wikidata.org/entity/Q213053,1.0
http://moviekg.local/resource/movie_1062722,Frankenstein,Movie,http://www.wikidata.org/entity/Q37235204,0.5
http://moviekg.local/resource/movie_1081676,Forgotten Love,Movie,http://www.wikidata.org/entity/Q132818773,0.5
http://moviekg.local/resource/movie_1084242,Zootopia 2,Movie,http://www.wikidata.org/entity/Q116764712,1.0
http://moviekg.local/resource/movie_1108427,Moana,Movie,http://www.wikidata.org/entity/Q18647981,1.0
http://moviekg.local/resource/movie_1119449,"Good Luck, Have Fun, Don't Die",Movie,http://www.wikidata.org/entity/Q125843356,1.0
http://moviekg.local/resource/movie_11235,Local Hero,Movie,http://www.wikidata.org/entity/Q639969,1.0
http://moviekg.local/resource/movie_11431,Fever Pitch,Movie,http://www.wikidata.org/entity/Q1304902,1.0
http://moviekg.local/resource/movie_114891,Pathinaaru,Movie,http://www.wikidata.org/entity/Q7144782,1.0
http://moviekg.local/resource/movie_1159559,Scream 7,Movie,http://www.wikidata.org/entity/Q124758309,1.0
http://moviekg.local/resource/movie_1167307,David,Movie,http://www.wikidata.org/entity/Q18057751,0.5
http://moviekg.local/resource/movie_1171145,Crime 101,Movie,http://www.wikidata.org/entity/Q126394034,1.0
http://moviekg.local/resource/movie_117878,Kiss at Pine Lake,Movie,http://www.wikidata.org/entity/Q3319828,1.0
http://moviekg.local/resource/movie_1180831,Troll 2,Movie,http://www.wikidata.org/entity/Q133458191,1.0
